config,dataset,modelo,mse_original,mse_optimizado,mejora_%,tiempo_optimizador_s,num_features,name,pop_size,crossover_prob,mutation_prob,elitism,complexity_penalty,patience
SinElitismo,California,ElasticNet,0.5396855165189584,0.4617966147036589,14.432275729334554,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,BayesianRidge,0.5408476251390804,0.4625030472353448,14.485517595383557,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,DecisionTree,0.5285224061284108,0.5291278232714729,-0.11454900228298204,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,RandomForest,0.2542358390056568,0.25381192942425945,0.16673871907884052,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,ExtraTrees,0.2486223573508362,0.27065987872648695,-8.863853440402035,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,GradientBoosting,0.28952296442116765,0.29165119396031,-0.7350814272702788,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,AdaBoost,0.819367370085345,0.8730633288876835,-6.553343562698322,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,SVR,1.3525489127697103,1.3521982879433248,0.025923264073868246,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,MLP,0.6307256030536917,0.5100266244080771,19.136527526589063,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,KNeighbors,1.132222068863644,1.1218359923214898,0.9173179739004889,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,Huber,0.6273176291227253,0.5504598301641036,12.251815570065162,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,LinearRegression,2848.3106508475075,2597.034756969124,8.821927264275653,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,Ridge,3105.4721464484733,2729.7488421153303,12.098749775065066,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,Lasso,2846.0124047218987,2712.456841785739,4.69272595982273,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,ElasticNet,2808.312249539323,2691.40451372682,4.162917988613302,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,BayesianRidge,2826.1947991560064,2712.260143986954,4.031380115874428,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,DecisionTree,5941.7027027027025,5497.054054054054,7.483522331845904,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,RandomForest,3010.1125675675676,2627.561036036036,12.708877922152473,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,ExtraTrees,2688.987131531531,2602.066119819819,3.232481505488105,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,GradientBoosting,3184.486512888118,2869.775363110986,9.882634091978304,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,AdaBoost,2996.4916864419347,2920.100104214949,2.549367400971958,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,SVR,4511.870338681655,5311.794730193886,-17.729330221532138,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,MLP,6385.281787954758,3204.4494335268405,49.815066273633576,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,KNeighbors,3060.166486486487,4214.079279279279,-37.707516825911334,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,Diabetes,Huber,2848.712270747901,2783.357781171579,2.294176574005624,185.02930116653442,20,SinElitismo,25,0.7,0.35,False,0.001,30
MutacionAlta,California,LinearRegression,0.5411287478470683,0.465793166041727,13.921933015954346,16.005788326263428,13,MutacionAlta,25,0.65,0.6,True,0.001,30
MutacionAlta,California,Ridge,0.5410468729073385,0.4657485660622426,13.917150364528919,16.005788326263428,13,MutacionAlta,25,0.65,0.6,True,0.001,30
MutacionAlta,California,Lasso,0.5394284335040465,0.4641701064332379,13.95149428478245,16.005788326263428,13,MutacionAlta,25,0.65,0.6,True,0.001,30
MutacionAlta,California,ElasticNet,0.5396855165189584,0.4646606551274206,13.90158881332555,16.005788326263428,13,MutacionAlta,25,0.65,0.6,True,0.001,30
MutacionAlta,California,BayesianRidge,0.5408476251390804,0.4655906799418846,13.914629869705585,16.005788326263428,13,MutacionAlta,25,0.65,0.6,True,0.001,30
MutacionAlta,California,DecisionTree,0.5285224061284108,0.5293869624929651,-0.16357988886175345,16.005788326263428,13,MutacionAlta,25,0.65,0.6,True,0.001,30
MutacionAlta,California,RandomForest,0.2542358390056568,0.2583154885528323,-1.6046713017060954,16.005788326263428,13,MutacionAlta,25,0.65,0.6,True,0.001,30
MutacionAlta,California,ExtraTrees,0.2486223573508362,0.27629530216194326,-11.130513404334419,16.005788326263428,13,MutacionAlta,25,0.65,0.6,True,0.001,30
MutacionAlta,California,GradientBoosting,0.28952296442116765,0.28903237971055473,0.16944587162325275,16.005788326263428,13,MutacionAlta,25,0.65,0.6,True,0.001,30
MutacionAlta,California,AdaBoost,0.819367370085345,0.8253369566696903,-0.728560448254556,16.005788326263428,13,MutacionAlta,25,0.65,0.6,True,0.001,30
